**********part$ 0010. 查询当前逻辑库所跳过同步的对象**********
**********Order by owner, name, statement_opt**********

ERROR|OWNER               | CT_NAME|NAME                                    |OBJECT_TYPE                             |STATEMENT_OPT                                               |US|ES|PROCEDURE
N    |SEASHELLDOWNTXN     |      26|ALL_ORDER                               |TABLE                                   |SCHEMA_DDL                                                  |Y |  |
N    |SEASHELLDOWNTXN     |      26|APP_BALANCE_DETAIL_TEMP                 |TABLE                                   |DML                                                         |Y |  |
N    |SEASHELLDOWNTXN     |      26|APP_BALANCE_DETAIL_TEMP                 |TABLE                                   |SCHEMA_DDL                                                  |Y |  |
N    |SEASHELLDOWNTXN     |      26|DT_COMMON                               |TABLE                                   |DML                                                         |Y |  |
N    |SEASHELLDOWNTXN     |      26|DT_COMMON                               |TABLE                                   |SCHEMA_DDL                                                  |Y |  |
N    |SEASHELLDOWNTXN     |      26|DT_PAYMENTORDER                         |TABLE                                   |DML                                                         |Y |  |
N    |SEASHELLDOWNTXN     |      26|DT_PAYMENTORDER                         |TABLE                                   |SCHEMA_DDL                                                  |Y |  |
N    |SEASHELLDOWNTXN     |      26|GATEWAY_REFUND                          |TABLE                                   |DML                                                         |Y |  |
N    |SEASHELLDOWNTXN     |      26|GATEWAY_REFUND                          |TABLE                                   |SCHEMA_DDL                                                  |Y |  |
N    |SEASHELLDOWNTXN     |      26|MRS_BALANCE                             |TABLE                                   |DML                                                         |Y |  |
N    |SEASHELLDOWNTXN     |      26|MRS_BALANCE                             |TABLE                                   |SCHEMA_DDL                                                  |Y |  |
N    |SEASHELLDOWNTXN     |      26|MSGATEWAY_PAYERPAYEEINFO                |TABLE                                   |DML                                                         |Y |  |
N    |SEASHELLDOWNTXN     |      26|MSGATEWAY_PAYERPAYEEINFO                |TABLE                                   |SCHEMA_DDL                                                  |Y |  |
N    |SEASHELLDOWNTXN     |      26|MSGATEWAY_PAYMETHOD                     |TABLE                                   |DML                                                         |Y |  |
N    |SEASHELLDOWNTXN     |      26|MSGATEWAY_PAYMETHOD                     |TABLE                                   |SCHEMA_DDL                                                  |Y |  |
N    |SEASHELLDOWNTXN     |      26|MSGGATEWAY                              |TABLE                                   |DML                                                         |Y |  |
N    |SEASHELLDOWNTXN     |      26|MSGGATEWAY                              |TABLE                                   |SCHEMA_DDL                                                  |Y |  |
N    |SEASHELLDOWNTXN     |      26|MSGGATEWAY_CLEARTXID                    |TABLE                                   |DML                                                         |Y |  |
N    |SEASHELLDOWNTXN     |      26|MSGGATEWAY_CLEARTXID                    |TABLE                                   |SCHEMA_DDL                                                  |Y |  |
N    |SEASHELLDOWNTXN     |      26|MSGGATEWAY_MEMBERCODE                   |TABLE                                   |DML                                                         |Y |  |
N    |SEASHELLDOWNTXN     |      26|MSGGATEWAY_MEMBERCODE                   |TABLE                                   |SCHEMA_DDL                                                  |Y |  |
N    |SEASHELLDOWNTXN     |      26|MSGGATEWAY_ORDERID                      |TABLE                                   |DML                                                         |Y |  |
N    |SEASHELLDOWNTXN     |      26|MSGGATEWAY_ORDERID                      |TABLE                                   |SCHEMA_DDL                                                  |Y |  |
N    |SEASHELLDOWNTXN     |      26|MSGGATEWAY_PAYEEFEE                     |TABLE                                   |DML                                                         |Y |  |
N    |SEASHELLDOWNTXN     |      26|MSGGATEWAY_PAYEEFEE                     |TABLE                                   |SCHEMA_DDL                                                  |Y |  |
N    |SEASHELLDOWNTXN     |      26|MSGGATEWAY_PAYERFEE                     |TABLE                                   |DML                                                         |Y |  |
N    |SEASHELLDOWNTXN     |      26|MSGGATEWAY_PAYERFEE                     |TABLE                                   |SCHEMA_DDL                                                  |Y |  |
N    |SEASHELLDOWNTXN     |      26|MSGGATEWAY_PAYMENTORDER                 |TABLE                                   |DML                                                         |Y |  |
N    |SEASHELLDOWNTXN     |      26|MSGGATEWAY_PAYMENTORDER                 |TABLE                                   |SCHEMA_DDL                                                  |Y |  |
N    |SEASHELLDOWNTXN     |      26|MSGGATEWAY_RELATEDORDERID               |TABLE                                   |DML                                                         |Y |  |
N    |SEASHELLDOWNTXN     |      26|MSGGATEWAY_RELATEDORDERID               |TABLE                                   |SCHEMA_DDL                                                  |Y |  |
N    |SEASHELLDOWNTXN     |      26|MSGGATEWAY_TRADER                       |TABLE                                   |DML                                                         |Y |  |
N    |SEASHELLDOWNTXN     |      26|MSGGATEWAY_TRADER                       |TABLE                                   |SCHEMA_DDL                                                  |Y |  |
N    |SEASHELLDOWNTXN     |      26|PK_GATEWAY_REFUND_ID                    |INDEX                                   |SCHEMA_DDL                                                  |Y |  |
N    |SEASHELLDOWNTXN     |      26|SEQ_APP_BALANCE_DETAIL_TEMP             |SEQUENCE                                |DML                                                         |Y |  |
N    |SEASHELLDOWNTXN     |      26|SEQ_APP_BALANCE_DETAIL_TEMP             |SEQUENCE                                |SCHEMA_DDL                                                  |Y |  |
N    |SEASHELLDOWNTXN     |      26|SEQ_MRS_GATEWAY_REFUND                  |SEQUENCE                                |DML                                                         |Y |  |
N    |SEASHELLDOWNTXN     |      26|SEQ_MRS_GATEWAY_REFUND                  |SEQUENCE                                |SCHEMA_DDL                                                  |Y |  |
N    |SEASHELLDOWNTXN     |      26|SEQ_MRS_WITHDRAW_PAYTOBANK              |SEQUENCE                                |DML                                                         |Y |  |
N    |SEASHELLDOWNTXN     |      26|SEQ_MRS_WITHDRAW_PAYTOBANK              |SEQUENCE                                |SCHEMA_DDL                                                  |Y |  |
N    |SEASHELLDOWNTXN     |      26|SEQ_MSGGATEWAY_ID                       |SEQUENCE                                |DML                                                         |Y |  |
N    |SEASHELLDOWNTXN     |      26|SEQ_MSGGATEWAY_ID                       |SEQUENCE                                |SCHEMA_DDL                                                  |Y |  |
N    |SEASHELLDOWNTXN     |      26|SUM_ENTRY                               |TABLE                                   |DML                                                         |Y |  |
N    |SEASHELLDOWNTXN     |      26|SUM_ENTRY                               |TABLE                                   |SCHEMA_DDL                                                  |Y |  |
N    |SEASHELLDOWNTXN     |      26|SUM_ENTRY_EXT                           |TABLE                                   |DML                                                         |Y |  |
N    |SEASHELLDOWNTXN     |      26|SUM_ENTRY_EXT                           |TABLE                                   |SCHEMA_DDL                                                  |Y |  |
N    |SEASHELLDOWNTXN     |      26|WITHDRAW_PAYTOBANK                      |TABLE                                   |DML                                                         |Y |  |
N    |SEASHELLDOWNTXN     |      26|WITHDRAW_PAYTOBANK                      |TABLE                                   |SCHEMA_DDL                                                  |Y |  |
N    |SEASHELLLOG         |       2|%                                       |NOT Existed in LDG!!                    |SCHEMA_DDL                                                  |Y |  |
N    |SEASHELLLOG         |       2|PK_ACCOUTINGEXCEPTIONLOG                |INDEX                                   |SCHEMA_DDL                                                  |Y |  |
N    |SYS                 |       4|%                                       |NOT Existed in LDG!!                    |INTERNAL SCHEMA                                             |N |  |
N    |SYS                 |       4|JOB$                                    |TABLE                                   |DML                                                         |Y |  |
N    |SYS                 |       4|VERIFY_FUNCTION                         |NOT Existed in LDG!!                    |SCHEMA_DDL                                                  |Y |  |
N    |SYS                 |       4|VERIFY_FUNCTION_11G                     |FUNCTION                                |SCHEMA_DDL                                                  |Y |  |
N    |SYSTEM              |       1|%                                       |NOT Existed in LDG!!                    |INTERNAL SCHEMA                                             |N |  |
N    |SZX                 |      25|ACCOUNTING_LOG                          |TABLE                                   |SCHEMA_DDL                                                  |Y |  |
N    |SZX                 |      25|ACCOUNTING_REQUEST                      |TABLE                                   |SCHEMA_DDL                                                  |Y |  |
N    |SZX                 |      25|ACCOUNTING_REQUEST_PK                   |INDEX                                   |SCHEMA_DDL                                                  |Y |  |
N    |SZX                 |      25|GATEWAYREQUES                           |NOT Existed in LDG!!                    |SCHEMA_DDL                                                  |Y |  |
N    |SZX                 |      25|GATEWAYREQUEST                          |TABLE                                   |SCHEMA_DDL                                                  |Y |  |
N    |SZX                 |      25|IDX_ACC_REQUEST_ORDERID_LAST            |INDEX                                   |SCHEMA_DDL                                                  |Y |  |
N    |SZX                 |      25|IDX_DEALREQUEST_SEQNO                   |INDEX                                   |SCHEMA_DDL                                                  |Y |  |
N    |SZX                 |      25|IDX_DEALRESP_REQUESTID                  |INDEX                                   |SCHEMA_DDL                                                  |Y |  |
N    |SZX                 |      25|IDX_FULFILL_SALESORD                    |INDEX                                   |SCHEMA_DDL                                                  |Y |  |
N    |SZX                 |      25|IDX_GATEWAYPAYORDER_OID_MBCODE          |INDEX                                   |SCHEMA_DDL                                                  |Y |  |
N    |SZX                 |      25|IDX_GATEWAYPAYORDER_ORDERID             |INDEX                                   |SCHEMA_DDL                                                  |Y |  |
N    |SZX                 |      25|IDX_GATEWAYPAYORDER_PCHORDERID          |INDEX                                   |SCHEMA_DDL                                                  |Y |  |
N    |SZX                 |      25|IDX_PURCHASEORDER_CARDPASSWORD          |INDEX                                   |SCHEMA_DDL                                                  |Y |  |
N    |SZX                 |      25|PK_CARDINFO                             |INDEX                                   |SCHEMA_DDL                                                  |Y |  |
N    |SZX                 |      25|PK_DEALREQUEST_P                        |INDEX                                   |SCHEMA_DDL                                                  |Y |  |
N    |SZX                 |      25|PK_DEALRESPONSE                         |INDEX                                   |SCHEMA_DDL                                                  |Y |  |
N    |SZX                 |      25|PK_FULFILLMENTORDER                     |INDEX                                   |SCHEMA_DDL                                                  |Y |  |
N    |SZX                 |      25|PK_GATEWAYPAYORDER                      |INDEX                                   |SCHEMA_DDL                                                  |Y |  |
N    |SZX                 |      25|PK_GATEWAYREQUEST                       |INDEX                                   |SCHEMA_DDL                                                  |Y |  |
N    |SZX                 |      25|PK_GATEWAYRESPONSE                      |INDEX                                   |SCHEMA_DDL                                                  |Y |  |
N    |SZX                 |      25|PURCHASEORDER_CARDNO                    |INDEX                                   |SCHEMA_DDL                                                  |Y |  |
N    |SZX                 |      25|SYSCOMMREQUEST                          |TABLE                                   |DML                                                         |Y |  |
N    |SZX                 |      25|SYSCOMMREQUEST_NEW                      |NOT Existed in LDG!!                    |DML                                                         |Y |  |
N    |SZX                 |      25|SYSCOMMRESPONSE                         |TABLE                                   |DML                                                         |Y |  |
N    |SZX                 |      25|SYSCOMMRESPONSE_NEW                     |NOT Existed in LDG!!                    |DML                                                         |Y |  |
N    |XDB                 |       1|%                                       |NOT Existed in LDG!!                    |INTERNAL SCHEMA                                             |N |  |
N    |XS$NULL             |       1|%                                       |NOT Existed in LDG!!                    |INTERNAL SCHEMA                                             |N |  |
N    |                    |       0|                                        |NOT Existed in LDG!!                    |ALTER TABLESPACE                                            |Y |  |SYS.AANDLE_TBS_DDL
N    |                    |       0|                                        |NOT Existed in LDG!!                    |TABLESPACE                                                  |Y |  |

308 rows selected.



