**********part$ 0010. 查询当前逻辑库所跳过同步的对象**********
**********Order by owner, name, statement_opt**********

ERROR|OWNER               | CT_NAME|NAME                                    |OBJECT_TYPE                             |STATEMENT_OPT                                               |US|ES|PROCEDURE
N    |MASPOS              |      15|T_BK_PE_ENTRY                           |TABLE                                   |DML                                                         |Y |  |
N    |MASPOS              |      15|T_BK_PE_PAYMENT_ORDER                   |TABLE                                   |DML                                                         |Y |  |
N    |MASPOS              |      15|T_BK_RECORD                             |TABLE                                   |DML                                                         |Y |  |
N    |MASPOS              |      15|T_BK_RECORD_REF                         |TABLE                                   |DML                                                         |Y |  |
N    |MASPOS              |      15|T_PCI_INFO_TMP_PINAN                    |TABLE                                   |DML                                                         |Y |  |
N    |MASPOS              |      15|T_PCI_INFO_TMP_PINAN                    |TABLE                                   |SCHEMA_DDL                                                  |Y |  |
N    |MASPOS              |      15|T_READ_BANK_CIB_0809                    |TABLE                                   |DML                                                         |Y |  |
N    |MASPOS              |      15|T_READ_BANK_CIB_0809                    |TABLE                                   |SCHEMA_DDL                                                  |Y |  |
N    |MASPOS              |      15|T_STL_LIST                              |TABLE                                   |DML                                                         |Y |  |
N    |MASPOS              |      15|T_STL_LIST                              |TABLE                                   |SCHEMA_DDL                                                  |Y |  |
N    |MASPOS              |      15|T_TXN_CTRL                              |TABLE                                   |SCHEMA_DDL                                                  |Y |  |
N    |NBIZSVC             |       1|T_SVC_CARD_BALANCE_REPORT               |TABLE                                   |SCHEMA_DDL                                                  |Y |  |
N    |OGG                 |       3|%                                       |NOT Existed in LDG!!                    |DML                                                         |Y |  |
N    |OGG                 |       3|%                                       |NOT Existed in LDG!!                    |SCHEMA_DDL                                                  |Y |  |
N    |OGG                 |       3|GGSCHKPT                                |TABLE                                   |DML                                                         |Y |  |
N    |OGG                 |       3|GGSCHKPT                                |TABLE                                   |SCHEMA_DDL                                                  |Y |  |
N    |OGG                 |       3|GGSCHKPT_LOX                            |TABLE                                   |SCHEMA_DDL                                                  |Y |  |
N    |ORACLE_OCM          |       1|%                                       |NOT Existed in LDG!!                    |INTERNAL SCHEMA                                             |N |  |
N    |OUTLN               |       1|%                                       |NOT Existed in LDG!!                    |INTERNAL SCHEMA                                             |N |  |
N    |SOE                 |       1|%                                       |NOT Existed in LDG!!                    |DML                                                         |Y |  |
N    |SOE                 |       1|%                                       |NOT Existed in LDG!!                    |SCHEMA_DDL                                                  |Y |  |
N    |SYS                 |       1|%                                       |NOT Existed in LDG!!                    |INTERNAL SCHEMA                                             |N |  |
N    |SYSTEM              |       1|%                                       |NOT Existed in LDG!!                    |INTERNAL SCHEMA                                             |N |  |
N    |VPDADMIN            |       1|%                                       |NOT Existed in LDG!!                    |DML                                                         |Y |  |
N    |VPDADMIN            |       1|%                                       |NOT Existed in LDG!!                    |SCHEMA_DDL                                                  |Y |  |
N    |WMSYS               |       1|%                                       |NOT Existed in LDG!!                    |INTERNAL SCHEMA                                             |N |  |
N    |XDB                 |       1|%                                       |NOT Existed in LDG!!                    |INTERNAL SCHEMA                                             |N |  |
N    |XS$NULL             |       1|%                                       |NOT Existed in LDG!!                    |INTERNAL SCHEMA                                             |N |  |
N    |                    |       0|                                        |NOT Existed in LDG!!                    |ALTER TABLESPACE                                            |Y |  |SYS.AANDLE_TBS_DDL

80 rows selected.



